timestamp,open,high,low,close,volume
2019-01-01,25000.0,25060.606713429013,24971.363177171024,24979.789453487825,159934
2019-01-02,25024.83570765056,25121.021983256043,25008.43146198495,25102.052544556525,147234
2019-01-03,25017.922492592,25043.69975740419,25001.711809256845,25040.27343763241,162953
2019-01-04,25050.306919497038,25122.40735967089,24955.636312651757,25064.00214555116,180460
2019-01-07,25126.458412317435,25154.54244429675,25070.83557290087,25079.493719051443,145316
2019-01-08,25114.75074358127,25172.975235183847,25067.90365711774,25110.14529122171,145317
2019-01-09,25103.04389573381,25121.744776202017,25020.0648234431,25094.183326873917,181584
2019-01-10,25182.004536509183,25232.537920772415,25096.78020299724,25202.646906483867,165348
2019-01-11,25220.376272966827,25298.4309725674,25180.479079986424,25194.423190223974,140610
2019-01-14,25196.90255367008,25238.183990851587,25124.47692849744,25124.480421447108,160851
2019-01-15,25224.03055584938,25293.872611053222,25144.629502422707,25250.911048920883,140731
2019-01-16,25200.85967120876,25282.45016767983,25131.94110939082,25185.61206402797,140685
2019-01-17,25177.573183530243,25271.019187283397,25153.929626798235,25183.726734069096,154839
2019-01-18,25189.671297108544,25220.78908447553,25100.84181959201,25102.388835817183,111734
2019-01-21,25094.007284875654,25139.94571729849,25035.48877512941,25091.926799015484,115501
2019-01-22,25007.761393250003,25031.47883444974,24972.338874876703,25022.67589496036,138754
2019-01-23,24979.647016787952,25078.97053198221,24931.37648009856,25072.71721498394,129743
2019-01-24,24929.00546077123,25022.43554788441,24915.62406263533,24976.052121082503,156284
2019-01-25,24944.717827400997,25003.313969126244,24923.20981529097,24964.42030463055,131839
2019-01-28,24899.31662362493,24985.09962011881,24820.417416078504,24834.42468910857,121753
2019-01-29,24828.701438558168,24885.587656512653,24818.700391430182,24855.412992003523,179312
2019-01-30,24901.983877004244,24968.106588924493,24854.49295244084,24897.663757389804,145484
2019-01-31,24890.69506197992,24908.71626087036,24833.669145682212,24879.23289704147,151350
2019-02-01,24894.071472214317,24972.045810059022,24879.154374414225,24915.26372294144,121505
2019-02-04,24822.83406290364,24844.32827643081,24725.25702823613,24753.86974480545,139112
2019-02-05,24795.61492667738,24879.961013400105,24765.263646864907,24776.15591384589,152218
2019-02-06,24801.161056162877,24881.543584053208,24763.783171395607,24800.868097383885,126980
2019-02-07,24743.61137729176,24817.398400088627,24706.25655118881,24716.997836758164,157513
2019-02-08,24762.39627820904,24775.65071245627,24731.65877861848,24739.44081757524,137987
2019-02-11,24732.364343713103,24769.64589574818,24722.231699725337,24769.04544988867,144166
2019-02-12,24717.77965622344,24751.45978751541,24642.13862475552,24690.68854198236,137965
2019-02-13,24687.69432561197,24730.10660228441,24590.678230630037,24664.836244962764,187045
2019-02-14,24780.308234837416,24798.19608204616,24750.12182134176,24792.12038624847,149730
2019-02-15,24779.63337360052,24873.959577673315,24709.95912633821,24873.23287535388,128845
2019-02-18,24726.74782715272,24786.590028816838,24649.97715772644,24729.583451677277,166450
2019-02-19,24767.87507275788,24805.372260717104,24681.51678863973,24782.146117295662,125583
2019-02-20,24706.83289025933,24752.561226796017,24658.796262528107,24689.45187599275,154177
2019-02-21,24717.276070009568,24767.524298655004,24680.01228850193,24706.768556810297,110806
2019-02-22,24619.29256381558,24683.346053818037,24580.016001753505,24621.62739821045,123436
2019-02-25,24552.883261370655,24609.29440986334,24478.74734139179,24566.541193059664,153937
2019-02-26,24562.726323164115,24655.47160075341,24479.216171178607,24599.456160420625,164769
2019-02-27,24599.649652163887,24654.37636562541,24573.304395065792,24598.861477230923,153427
